,name,accuracy_train,accuracy_test,precision_test,recall_test,roc_test,fn_test,fp_test,accuracy_val,precision_val,recall_val,roc_val,fn_val,fp_val,score
14,Logistic Regression Lemm TFIDF Ngrams,0.7981202569520571,0.7809123724955035,0.7706004741859003,0.8005227575460554,0.7808948447078683,7937,9482,0.8161559888579387,0.8118279569892473,0.8296703296703297,0.8159651083379897,31,35,0
15,Logistic Regression Lemm TFIDF Ngrams Limited,0.7981202569520571,0.7809123724955035,0.7706004741859003,0.8005227575460554,0.7808948447078683,7937,9482,0.8161559888579387,0.8118279569892473,0.8296703296703297,0.8159651083379897,31,35,0
16,Logistic Regression Lemm TFIDF No CV,0.7959734733541988,0.7697938546291522,0.761247021059287,0.7867501068134409,0.7697786991089209,8485,9818,0.7910863509749304,0.7923497267759563,0.7967032967032966,0.7910070155832867,37,38,0
17,SVC Stop TFIDF Ngrams,0.8018178281855325,0.7849744840242339,0.7733323721645521,0.8074616754898764,0.7849303037533509,7674,9433,0.807799442896936,0.8021390374331551,0.8241758241758241,0.8075681380766128,32,37,0
18,SVC Stop TFIDF Ngrams Limited,0.8101263310540466,0.7835038588199804,0.7724963278672735,0.8049025265323532,0.7834618171565069,7776,9448,0.8189415041782729,0.8232044198895028,0.8186813186813187,0.8189451791146706,33,32,0
19,SVC Stop TFIDF No CV,0.8364212640514851,0.7723547600492723,0.7669006824095439,0.7838522718719422,0.7723321710484368,8615,9496,0.7910863509749304,0.783068783068783,0.8131868131868132,0.7907741975538587,34,41,1
20,SVC Lemm TFIDF Ngrams,0.8001684063358913,0.7772397398971159,0.7635235139651468,0.8038402573575611,0.7772159643200515,7805,9906,0.8161559888579387,0.8186813186813187,0.8186813186813187,0.8161203203576085,33,33,0
21,SVC Lemm TFIDF Ngrams Limited,0.7995170233385762,0.775441156124618,0.7628268110906085,0.8000201060594637,0.7754191874272343,7957,9897,0.807799442896936,0.8156424581005587,0.8021978021978022,0.8078785621158503,36,33,0
22,SVC Lemm TFIDF No CV,0.8278462259504631,0.7642974832404694,0.7563762149521327,0.7803664329337254,0.7642831207923575,8739,10001,0.7771587743732591,0.7712765957446809,0.7967032967032966,0.7768827217979759,37,43,0
23,Random Forest stop TFIDF Ngrams,0.7542180917501111,0.7449282284622539,0.745729501607717,0.7448127054218833,0.7449284554287572,10171,10122,0.7827298050139275,0.7765957446808509,0.8021978021978022,0.7824548333022909,36,42,0
24,Random Forest stop TFIDF Ngrams Limited,0.7530888127950547,0.7469016315141155,0.7461248533559643,0.7499811827282535,0.7468955811628724,9965,10171,0.7883008356545961,0.7819148936170213,0.8076923076923077,0.7880269448066061,35,41,0
25,Random Forest stop TFIDF Ngrams More Estimators,0.7548082011982132,0.7479448955479021,0.7477977977977978,0.7497302857716336,0.747941387816675,9975,10078,0.7827298050139275,0.7765957446808509,0.8021978021978022,0.7824548333022909,36,42,0
26,Random Forest stop TFIDF Ngrams Trimmed,0.7530319188348117,0.7449533673546344,0.7446606312209273,0.7470707780314625,0.7449492073074621,10081,10210,0.7910863509749304,0.7715736040609137,0.8351648351648352,0.7904637735146209,30,45,0
27,Random Forest Lemm TFIDF Ngrams,0.7514146397004697,0.7425761253726088,0.7369169650301634,0.7552338586041368,0.7425648118742019,9739,10728,0.7855153203342619,0.7777777777777778,0.8076923076923077,0.7852020860495437,35,42,0
28,Random Forest Lemm TFIDF Ngrams Limited,0.741030244295103,0.7371049090017231,0.7332131479514978,0.7461861318454849,0.7370967921929474,10099,10803,0.7604456824512534,0.7526315789473684,0.7857142857142857,0.7600887812752221,39,47,0
29,Random Forest Lemm TFIDF Ngrams More Estimators,0.7499159292269726,0.7444375966895996,0.7419475096928124,0.7502827414612079,0.7444323722916091,9936,10383,0.8022284122562674,0.7905759162303665,0.8296703296703297,0.8018408145526791,31,40,0
30,Random Forest Lemm TFIDF Ngrams Trimmed,0.7506997071424409,0.7445633717785856,0.7401617516520367,0.75442961622559,0.744554553316481,9771,10538,0.7855153203342619,0.774869109947644,0.8131868131868132,0.7851244800397342,34,43,0
